2,-0.463013,0.000416669,0.199072,0.00073418,0.0285595,0.00141397,1.37613,0.0051963
1.95,-0.47353,0.000348299,0.204901,0.000609327,0.028152,0.00121967,1.45157,0.00626733
1.9,-0.482939,0.000424966,0.213659,0.000961245,0.0331929,0.00129624,1.52746,0.00959211
1.85,-0.494801,0.000398627,0.222017,0.000825498,0.0336121,0.00108139,1.61861,0.00810534
1.8,-0.505551,0.000484806,0.230352,0.000826882,0.0337202,0.00117872,1.72567,0.0102916
1.75,-0.517878,0.000321841,0.242049,0.00115458,0.0369455,0.0011174,1.84004,0.0091657
1.7,-0.529725,0.0003932,0.251778,0.00106309,0.039195,0.00164911,1.92564,0.0119277
1.65,-0.542695,0.000347135,0.262004,0.000939338,0.0393861,0.00122226,2.06611,0.0150555
1.6,-0.55608,0.000384776,0.271146,0.00116815,0.0440375,0.00162186,2.23537,0.0179859
1.55,-0.569899,0.000553839,0.284472,0.000952794,0.0465341,0.00166539,2.38716,0.0184634
1.5,-0.5843,0.00053147,0.298959,0.000965513,0.0519294,0.00199565,2.60853,0.0172403
1.45,-0.599661,0.000402645,0.308321,0.00107325,0.0532856,0.00194237,2.8017,0.0154402
1.4,-0.615482,0.000571856,0.321401,0.00122518,0.0534399,0.00247144,3.09171,0.020168
1.35,-0.631192,0.000554815,0.335936,0.00152718,0.0616263,0.00306817,3.39086,0.0257239
1.3,-0.648631,0.000462093,0.349839,0.00113168,0.0654883,0.00273352,3.68447,0.0288122
1.25,-0.667099,0.000439845,0.363767,0.0016081,0.0823487,0.0028536,4.258,0.0369687
1.2,-0.685743,0.000479742,0.382995,0.00146983,0.0869671,0.00293403,4.7779,0.0512978
1.15,-0.704164,0.000564739,0.396213,0.00186824,0.102431,0.00284134,5.32746,0.0393534
1.1,-0.72548,0.000459998,0.404912,0.00176683,0.114034,0.00373653,5.99456,0.0525815
1.05,-0.74546,0.000555656,0.423486,0.00215395,0.125062,0.00307596,6.91506,0.0679975
1,-0.768149,0.000683004,0.440367,0.00325748,0.154815,0.00561743,8.2849,0.0847732
0.95,-0.789242,0.000576221,0.451667,0.00336326,0.166276,0.00549408,9.7953,0.105911
0.9,-0.811923,0.000620186,0.467896,0.00380607,0.207527,0.00489461,11.724,0.15647
0.85,-0.836293,0.000540386,0.480461,0.00395326,0.246041,0.00587924,14.6035,0.183879
0.8,-0.860171,0.000997184,0.493166,0.0045785,0.285994,0.0136088,18.3112,0.34514
0.75,-0.887449,0.000980722,0.507175,0.00474894,0.368037,0.00909315,24.1071,0.37083
0.7,-0.911506,0.00116841,0.524779,0.00504922,0.43931,0.0147625,31.2753,0.549517
0.65,-0.940251,0.00118615,0.521446,0.00691105,0.575648,0.0115489,43.4892,0.634297
0.6,-0.965239,0.0017478,0.485598,0.00801451,0.666428,0.0237651,57.7164,0.95759
0.55,-0.986725,0.00100955,0.391806,0.0102934,0.802008,0.0134372,73.1289,0.638458
0.5,-1.00229,0.00109276,0.283214,0.0161776,0.878649,0.0207432,89.3757,0.764381
