275.604,1,-86.3006,32.3777
275.604,9,-84.2813,30.4381
275.604,10,-84.3882,33.749
275.604,40,-81.0332,34.0003
275.604,32,-78.6391,35.7804
275.604,46,-77.4336,37.5389
275.604,20,-76.4909,38.9788
275.604,8,-75.5197,39.1573
275.604,30,-74.7699,40.2206
275.604,34,-73.7579,42.6528
275.604,45,-72.5805,44.2624
275.604,19,-69.7817,44.3072
275.604,29,-71.538,43.2069
275.604,21,-71.0637,42.3582
275.604,39,-71.415,41.8309
275.604,7,-72.6822,41.764
275.604,38,-76.8836,40.2644
275.604,48,-81.6123,38.3362
275.604,35,-82.9991,39.9613
275.604,22,-84.5553,42.7336
275.604,49,-89.3844,43.0747
275.604,13,-89.655,39.7984
275.604,14,-86.1626,39.7686
275.604,17,-84.8754,38.1867
275.604,42,-86.7842,36.1658
275.604,4,-92.289,34.7466
275.604,25,-92.1729,38.5792
275.604,16,-95.678,39.0482
275.604,27,-96.6997,40.8081
275.604,15,-93.6037,41.5911
275.604,23,-93.1022,44.9551
275.604,33,-100.783,46.8209
275.604,41,-100.346,44.367
275.604,50,-104.82,41.1403
275.604,44,-111.888,40.7775
275.604,26,-112.018,46.5857
275.604,12,-116.2,43.6178
275.604,37,-123.03,44.9385
275.604,47,-122.905,47.0358
275.604,2,-134.42,58.3016
275.604,11,-157.857,21.3074
275.604,5,-121.494,38.5767
275.604,28,-119.766,39.1639
275.604,3,-112.097,33.4481
275.604,31,-105.94,35.6822
275.604,6,-104.985,39.7392
275.604,36,-97.5033,35.4922
275.604,43,-97.7403,30.2747
275.604,18,-91.1874,30.4571
275.604,24,-90.1821,32.3038
275.604,1,-86.3006,32.3777
